"Name","Image","UPC-A","EAN-13","Amazon ASIN","Category","Brand","Model","Last Scanned","Store Name","Price"
"Celestron PowerSeeker 127EQ Telescope w/ Accessory Kit","https://images-na.ssl-images-amazon.com/images/I/41s9ldc5-sL._SL150_.jpg","=""050234210492""","=""0050234210492""","=""B01N41EGO7""","=""Electronics » Photography""","=""Celestron""","=""""","=""Jun 20, 2019 14:34""","Amazon US","$161.65 USD"
"Celestron NexStar 4 SE Telescope w/ Accessory Kit, Carrying Case, and AC Adapter","https://images-na.ssl-images-amazon.com/images/I/41kzFL14HcL._SL150_.jpg","=""050234110495""","=""0050234110495""","=""B01IEFJKBC""","=""Electronics » Photography""","=""Celestron""","=""""","=""Jun 20, 2019 22:25""","Amazon US","$737.03 USD"
"Celestron 21045 114mm Equatorial PowerSeeker EQ Telescope","https://images-na.ssl-images-amazon.com/images/I/41668woBnVL._SL150_.jpg","=""050234210454""","=""4047825001139""","=""B0000Y8C2Y""","=""Electronics » Photography""","=""Celestron""","=""21045""","=""Jun 22, 2019 00:03""","Amazon US","$103.50 USD"
"Celestron NexStar 6 SE Telescope","https://images-na.ssl-images-amazon.com/images/I/41MkJMH72tL._SL150_.jpg","=""050234110686""","=""4883033182907""","=""B000GUKTDM""","=""Electronics » Photography""","=""Celestron""","=""11068""","=""Jun 24, 2019 10:50""","Amazon US","$699.00 USD"
"Celestron StarSense Automatic Alignment Telescope Accessory, Black (94005) & 93973 Skyportal Wifi Module, Black","https://images-na.ssl-images-amazon.com/images/I/31%2BDNqYDa5L._SL150_.jpg","=""779177349457""","=""0779177349457""","=""B07TQM8P9M""","=""Electronics » Photography""","=""Celestron""","=""""","=""Jun 28, 2019 05:52""","Amazon US","$424.90 USD"
"Celestron AstroMaster LT 70AZ Refractor No-Tool Setup Refracting Telescope, Blue (21074)","https://images-na.ssl-images-amazon.com/images/I/411m5FaEsGL._SL150_.jpg","=""050234210744""","=""0050234210744""","=""B007DJZHBI""","=""Electronics » Photography""","=""Celestron""","=""21074""","=""Jul 02, 2019 13:43""","Amazon US","$88.04 USD"
"Celestron Eyepiece and Filter Kit - 14 Piece Telescope Accessory Set","https://images-na.ssl-images-amazon.com/images/I/31HRQPMTw4L._SL150_.jpg","=""050234943031""","=""0050234943031""","=""B00006RH5I""","=""Electronics » Photography""","=""Celestron""","=""94303""","=""Jul 02, 2019 20:12""","Amazon US","$115.55 USD"
"Celestron ExploraScope 22102 80AZ Refractor Telescope","https://images-na.ssl-images-amazon.com/images/I/41Z6rNnVHEL._SL150_.jpg","=""050234221023""","=""0050234221023""","=""B00VTSIT2S""","=""Electronics » Photography""","=""Celestron""","=""22102""","=""Jul 05, 2019 05:35""","Amazon US","$101.65 USD","FactoryOutletStore.com","$147.95 USD"
"Celestron Counterweight for CGE Pro Series Computerized Telescopes - 22 Lbs","https://images-na.ssl-images-amazon.com/images/I/41XJ%2ByQmM3L._SL150_.jpg","=""050234941877""","=""0050234941877""","=""B002PZLW7S""","=""Electronics » Photography""","=""Celestron""","=""94187""","=""Jul 05, 2019 05:36""","Amazon US","check latest price"
"Celestron PowerSeeker Accessory Kit Telescope","https://images-na.ssl-images-amazon.com/images/I/31EdCNiFlOL._SL150_.jpg","=""050234943062""","=""0050234943062""","=""B004OUMTT2""","=""Electronics » Photography""","=""Celestron""","=""94306""","=""Jul 05, 2019 05:36""","Amazon US","$32.95 USD"
"Celestron 114LCM Computerized Telescope (Black) with Mars Observing Telescope Accessory Kit/Deluxe kits and Eyepiece Filter","https://images-na.ssl-images-amazon.com/images/I/41Gr84GtCcL._SL150_.jpg","=""791836741655""","=""0791836741655""","=""B07FDGXRXW""","=""Electronics » Photography""","=""Celestron""","=""""","=""Jul 17, 2019 09:23""","Amazon US","$304.38 USD"
